time,dT,flow_hx_bot,flow_hx_top,max_flow_T,max_v,min_flow_T,total_fission_source,total_power,lambda
0,0,0,0,0,0,0,0,0,0
0.001,99.420738280478,-4.4892014789355,4.4892014789355,4508.2334109124,2.0419216282757,-4061.9136855868,62.241506101286,3051908390.4956,-1.111995665388e-13
0.003,99.423631809917,-4.4889517807792,4.4889517807792,4507.9899125249,2.0433148291201,-4061.6820234603,62.241506101286,3051908390.4956,1.4186544517888e-13
0.007,99.425089128655,-4.4887685074366,4.4887685074366,4507.8128956102,2.0380795403115,-4061.5166866804,62.241506101286,3051908390.4956,3.9373555878623e-13
0.015,99.425636550681,-4.4885965627516,4.4885965627516,4507.6484901892,2.032344308296,-4061.3669197184,62.241506101286,3051908390.4956,1.5115802446823e-13
0.031,99.425736156891,-4.4884103337536,4.4884103337536,4507.4716300625,2.0274519050281,-4061.2081284548,62.241506101286,3051908390.4956,2.0293467826234e-14
0.063,99.42596987897,-4.4882068463936,4.4882068463936,4507.2770707081,2.0229624155514,-4061.0327519879,62.241506101286,3051908390.4956,3.077121310733e-13
0.127,99.425663069623,-4.487995873233,4.487995873233,4507.0652606738,2.0227604397589,-4060.8432951239,62.241506101286,3051908390.4956,2.9957637447735e-13
0.255,99.416444384563,-4.4877737528402,4.4877737528402,4506.7919656649,2.022535530537,-4060.6334559552,62.241506101286,3051908390.4956,8.9034707464311e-13
0.511,99.402026550963,-4.4875538466559,4.4875538466559,4506.4845369122,2.0223550183172,-4060.412590298,62.241506101286,3051908390.4956,6.1966825914183e-13
1.023,99.434777885784,-4.487503874978,4.487503874978,4506.5510672135,2.0222981027037,-4060.3371161435,62.241506101286,3051908390.4956,-1.2627610273297e-12
2.047,99.451918455215,-4.4878356843562,4.4878356843562,4506.968140082,2.0224405417308,-4060.644271561,62.241506101286,3051908390.4956,-7.8483717051363e-13
4.095,99.436156030647,-4.4884481454356,4.4884481454356,4507.5466755691,2.0226577924784,-4061.2326454441,62.241506101286,3051908390.4956,-2.615682318748e-12
8.191,99.423653241088,-4.4890004297386,4.4890004297386,4508.0644892406,2.0228454322921,-4061.7516671151,62.241506101286,3051908390.4956,-2.2874722441355e-14
12.287,99.41956330636,-4.4891816017615,4.4891816017615,4508.232889972,2.022918283562,-4061.9204155219,62.241506101286,3051908390.4956,-6.0568102524772e-13
16.383,99.417821331755,-4.4892385872623,4.4892385872623,4508.2836132567,2.0229447510469,-4061.9732934726,62.241506101286,3051908390.4956,-7.4576015390919e-13
24.575,99.415296765759,-4.4893362749276,4.4893362749276,4508.3729004901,2.022983596249,-4062.0642024369,62.241506101286,3051908390.4956,-1.5603494019461e-12
40.959,99.413570428726,-4.4894002730108,4.4894002730108,4508.4309727267,2.0230089772124,-4062.123662503,62.241506101286,3051908390.4956,-2.9091396019554e-14
73.727,99.412785992675,-4.4894302139272,4.4894302139272,4508.4582501209,2.0230208432111,-4062.1514850347,62.241506101286,3051908390.4956,-2.5157522982343e-13
139.263,99.412460345855,-4.4894436308032,4.4894436308032,4508.4706145266,2.0230260989217,-4062.1639776045,62.241506101286,3051908390.4956,5.695347484359e-13
270.335,99.412314905372,-4.4894499471278,4.4894499471278,4508.4764786448,2.0230285510275,-4062.169866749,62.241506101286,3051908390.4956,-2.829371886158e-12
532.479,99.412245630274,-4.4894530223057,4.4894530223057,4508.479341995,2.0230297400105,-4062.1727353959,62.241506101286,3051908390.4956,3.2200278802434e-12
